Point Break;http://ia.media-imdb.com/images/M/MV5BMTIwNTk1MTgxMF5BMl5BanBnXkFtZTcwODI4NDUzMQ@@._V1_UY1200_CR126,0,630,1200_AL_.jpg;https://www.youtube.com/watch?v=0hd49bnStgU;Kathryn Bigelow;Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty;12 July 1991
Dirty Dancing;http://ia.media-imdb.com/images/M/MV5BMTc3MDY3ODQ2OV5BMl5BanBnXkFtZTgwOTQ2NTYxMTE@._V1_UY1200_CR90,0,630,1200_AL_.jpg;https://www.youtube.com/watch?v=HFK_i5r1WJk;Emile Ardolino;Patrick Swayze, Jennifer Grey, Jerry Orbach, Cynthia Rhodes;21 August 1987
Top Gun;http://ia.media-imdb.com/images/M/MV5BMTY3ODg4OTU3Nl5BMl5BanBnXkFtZTYwMjI1Nzg4._V1_UY1200_CR103,0,630,1200_AL_.jpg;https://www.youtube.com/watch?v=qAfbp3YX9F0;Tony Scott;Tom Cruise, Tim Robbins, Kelly McGillis, Val Kilmer; 6 May 1986
The Lord of the Rings: The Fellowship of the Ring;http://ia.media-imdb.com/images/M/MV5BNTEyMjAwMDU1OV5BMl5BanBnXkFtZTcwNDQyNTkxMw@@._V1_UY1200_CR95,0,630,1200_AL_.jpg;https://www.youtube.com/watch?v=V75dMMIW2B4;Peter Jackson;Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean;19 December 2001
The Lord of the Rings: The Two Towers;http://ia.media-imdb.com/images/M/MV5BMTAyNDU0NjY4NTheQTJeQWpwZ15BbWU2MDk4MTY2Nw@@._V1_UY1200_CR95,0,630,1200_AL_.jpg;https://www.youtube.com/watch?v=cvCktPUwkW0;Peter Jackson;Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom;18 December 2002
The Lord of the Rings: The Return of the King;http://ia.media-imdb.com/images/M/MV5BMjE4MjA1NTAyMV5BMl5BanBnXkFtZTcwNzM1NDQyMQ@@._V1_UY1200_CR89,0,630,1200_AL_.jpg;https://www.youtube.com/watch?v=r5X-hFf6Bwo;Peter Jackson;Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom;17 December 2003
